ID,Frame Name,Cycle Time [ms],Launch Type,Launch Parameter,Signal Byte No.,Signal Bit No.,Signal Name,Signal Function,Signal Length [Bit],Signal Default, Signal Not Available,Byteorder,is signed,sens_front,dspace,sens_rear,tlb_bat,dash,bms_lv,Name / Phys. Range,Function / Increment Unit,Value,frame.,signal.
  5h,Sens_Front_1,0,,,1,0,Throttle_0_Voltage_mV,,16,0, ,i,u,s,r,,,,,0..65535,,,,
  5h,Sens_Front_1,0,,,3,0,Throttle_1_Voltage_mV,,16,0, ,i,u,s,r,,,,,0..65535,,,,
  5h,Sens_Front_1,0,,,5,0,Steering_Voltage_mV,,16,0, ,i,u,s,r,,,,,0..65535,,,,
  5h,Sens_Front_1,0,,,7,0,Brake_Straingauge_Voltage_mV,,16,0, ,i,u,s,r,,,,,0..65535,,,,
 10h,Sens_Front_2,0,,,1,0,Pot_FL_Voltage_mV,,16,0, ,i,u,s,r,,,,,0..65535,,,,
 10h,Sens_Front_2,0,,,3,0,Pot_FR_Voltage_mV,,16,0, ,i,u,s,r,,,,,0..65535,,,,
 10h,Sens_Front_2,0,,,5,0,BrakePressure_Voltage_mV,,16,0, ,i,u,s,r,,,,,0..65535,,,,
 11h,Sens_Rear_1,0,,,1,0,Pot_RL_Voltage_mV,,16,0, ,i,u,,r,s,,,,0..65535,,,,
 11h,Sens_Rear_1,0,,,3,0,Pot_RR_Voltage_RR,,16,0, ,i,u,,r,s,,,,0..65535,,,,
 11h,Sens_Rear_1,0,,,5,0,BrakePressure_Rear_Voltage_mV,,16,0, ,i,u,,r,s,,,,0..65535,,,,
 12h,TLB_Battery_ShutStatus,0,,,1,0,isShutClosed_preAMS_IMD_Latch,,1,0, ,i,u,,r,,s,,,0..1,,,,
 12h,TLB_Battery_ShutStatus,0,,,1,1,isShutClosed_postAMSLatch,,1,0, ,i,u,,r,,s,,,0..1,,,,
 12h,TLB_Battery_ShutStatus,0,,,1,2,isShutClosed_postIMDLatch,,1,0, ,i,u,,r,,s,,,0..1,,,,
 12h,TLB_Battery_ShutStatus,0,,,1,3,isShutdownClosed_preTLBBattFinal,,1,0, ,i,u,,r,,s,,,0..1,,,,
 12h,TLB_Battery_ShutStatus,0,,,1,4,isAMSErrorLatched,,1,0, ,i,u,,r,,s,,,0..1,,,,
 12h,TLB_Battery_ShutStatus,0,,,1,5,isIMDErrorLatched,,1,0, ,i,u,,r,,s,,,0..1,,,,
 12h,TLB_Battery_ShutStatus,0,,,1,6,isSdPrchRlyClosed,,1,0, ,i,u,,r,,s,,,0..1,,,,
 12h,TLB_Battery_ShutStatus,0,,,2,0,ShutdownADC_postSDPrechargeRelay,,8,0.000, ,i,u,,r,,s,,,0..255,0.117  V,,,
 12h,TLB_Battery_ShutStatus,0,,,3,0,ShutdownADC_AIRsOpeningDelayCaps,,8,0.000, ,i,u,,r,,s,,,0..255,0.117  V,,,
 13h,TLB_Battery_TSALStatus,0,,,1,0,TSAL_isGreenON,,1,0, ,i,u,,r,,s,,,0..1,,,,
 13h,TLB_Battery_TSALStatus,0,,,1,1,TSAL_isAIRPosClosed,,1,0, ,i,u,,r,,s,,,0..1,,,,
 13h,TLB_Battery_TSALStatus,0,,,1,2,TSAL_IsAIRNegClosed,,1,0, ,i,u,,r,,s,,,0..1,,,,
 13h,TLB_Battery_TSALStatus,0,,,1,3,TSAL_IsRelayPrechargeClosed,,1,0, ,i,u,,r,,s,,,0..1,,,,
 13h,TLB_Battery_TSALStatus,0,,,1,4,TSAL_isDCBusOver60V,,1,0, ,i,u,,r,,s,,,0..1,,,,
 13h,TLB_Battery_TSALStatus,0,,,1,5,IntentionalState_AIRPos,,1,0, ,i,u,,r,,s,,,0..1,,,,
 13h,TLB_Battery_TSALStatus,0,,,1,6,IntentionalState_AIRNeg,,1,0, ,i,u,,r,,s,,,0..1,,,,
 13h,TLB_Battery_TSALStatus,0,,,1,7,IntentionalState_RelayPrecharge,,1,0, ,i,u,,r,,s,,,0..1,,,,
 13h,TLB_Battery_TSALStatus,0,,,2,0,SCS_Short2GND_AirPos,,1,0, ,i,u,,r,,s,,,0..1,,,,
 13h,TLB_Battery_TSALStatus,0,,,2,1,SCS_Short2GND_AirNeg,,1,0, ,i,u,,r,,s,,,0..1,,,,
 13h,TLB_Battery_TSALStatus,0,,,2,2,SCS_isAnyShort2GND_Present,,1,0, ,i,u,,r,,s,,,0..1,,,,
 13h,TLB_Battery_TSALStatus,0,,,2,3,Imp_isAnyImp_Present,,1,0, ,i,u,,r,,s,,,0..1,,,,
 13h,TLB_Battery_TSALStatus,0,,,2,4,Imp_isAIRPosImp_Present,,1,0, ,i,u,,r,,s,,,0..1,,,,
